Sample	cd8_subcluster	Diagnosis	.n	.frac
NC2	s9	NoColitis	18	0.0143198090692124
NC3	s1	NoColitis	301	0.337822671156005
NC3	s2	NoColitis	365	0.409652076318743
NC3	s3	NoColitis	106	0.118967452300786
NC3	s5	NoColitis	18	0.0202020202020202
NC3	s6	NoColitis	52	0.058361391694725
NC3	s8	NoColitis	33	0.037037037037037
NC3	s9	NoColitis	16	0.0179573512906846
NC4	s1	NoColitis	919	0.640864714086471
NC4	s2	NoColitis	193	0.134588563458856
NC4	s3	NoColitis	269	0.187587168758717
NC4	s4	NoColitis	4	0.00278940027894003
NC4	s5	NoColitis	4	0.00278940027894003
NC4	s6	NoColitis	11	0.00767085076708508
NC4	s7	NoColitis	2	0.00139470013947001
NC4	s8	NoColitis	19	0.0132496513249651
NC4	s9	NoColitis	13	0.00906555090655509
NC5	s1	NoColitis	764	0.59594383775351
NC5	s2	NoColitis	204	0.159126365054602
NC5	s3	NoColitis	200	0.15600624024961
NC5	s4	NoColitis	14	0.0109204368174727
NC5	s5	NoColitis	18	0.0140405616224649
NC5	s6	NoColitis	35	0.0273010920436817
NC5	s8	NoColitis	34	0.0265210608424337
NC5	s9	NoColitis	13	0.0101404056162246
NC6	s1	NoColitis	711	0.386203150461706
NC6	s2	NoColitis	711	0.386203150461706
NC6	s3	NoColitis	202	0.109722976643129
NC6	s4	NoColitis	27	0.0146659424225964
NC6	s5	NoColitis	37	0.020097772949484
NC6	s6	NoColitis	32	0.0173818576860402
NC6	s7	NoColitis	2	0.00108636610537751
NC6	s8	NoColitis	83	0.0450841933731668
NC6	s9	NoColitis	36	0.0195545898967952
