Stats	Cluster	Marker	Method	p_val_adj
0.251720464	1: IgA+ plasma B	HSPB1	FindMarkers	3.10E-277
0.376131336	1: IgA+ plasma B	IER2	FindMarkers	8.14E-218
0.288938341	1: IgA+ plasma B	ID3	FindMarkers	6.43E-148
2.263515289	2: IgA+ plasma B	IGHA2	FindMarkers	0
2.245801462	2: IgA+ plasma B	IGKC	FindMarkers	0
2.241585542	2: IgA+ plasma B	IGHA1	FindMarkers	0
2.180997312	2: IgA+ plasma B	IGLC2	FindMarkers	0
1.457970825	2: IgA+ plasma B	MZB1	FindMarkers	0
1.409016315	2: IgA+ plasma B	IGLV3-1	FindMarkers	0
1.278129376	2: IgA+ plasma B	IGKV3-15	FindMarkers	0
1.263120989	2: IgA+ plasma B	IGLL5	FindMarkers	0
1.200186081	2: IgA+ plasma B	DERL3	FindMarkers	0
1.124368656	2: IgA+ plasma B	XBP1	FindMarkers	0
1.119943895	2: IgA+ plasma B	IGKV3-11	FindMarkers	0
1.111067833	2: IgA+ plasma B	JCHAIN	FindMarkers	0
1.098211231	2: IgA+ plasma B	IGKV1-5	FindMarkers	0
1.098066567	2: IgA+ plasma B	IGKV1-9	FindMarkers	0
1.068361456	2: IgA+ plasma B	IGKV3-20	FindMarkers	0
1.048947443	2: IgA+ plasma B	SSR4	FindMarkers	0
1.01307353	2: IgA+ plasma B	IGKV4-1	FindMarkers	0
0.904341969	2: IgA+ plasma B	FKBP11	FindMarkers	0
0.834393631	2: IgA+ plasma B	SEC11C	FindMarkers	0
0.816234518	2: IgA+ plasma B	HSP90B1	FindMarkers	0
0.810285938	2: IgA+ plasma B	LINC02362	FindMarkers	0
0.800153657	2: IgA+ plasma B	HERPUD1	FindMarkers	0
0.789866232	2: IgA+ plasma B	ITM2C	FindMarkers	0
0.781834431	2: IgA+ plasma B	PRDX4	FindMarkers	0
0.762133915	2: IgA+ plasma B	IGLV6-57	FindMarkers	0
0.759500613	2: IgA+ plasma B	FKBP2	FindMarkers	0
0.758362934	2: IgA+ plasma B	TXNDC5	FindMarkers	0
0.753097157	2: IgA+ plasma B	TNFRSF17	FindMarkers	0
0.746987917	2: IgA+ plasma B	UBE2J1	FindMarkers	0
0.667759292	2: IgA+ plasma B	SDF2L1	FindMarkers	0
0.667745227	2: IgA+ plasma B	RRBP1	FindMarkers	0
0.623634893	2: IgA+ plasma B	SDC1	FindMarkers	0
0.579326096	2: IgA+ plasma B	TRIB1	FindMarkers	0
0.579001738	2: IgA+ plasma B	CCR10	FindMarkers	0
0.542103155	2: IgA+ plasma B	TXNDC11	FindMarkers	0
0.542040128	2: IgA+ plasma B	POU2AF1	FindMarkers	0
0.539215649	2: IgA+ plasma B	SSR3	FindMarkers	0
0.532431064	2: IgA+ plasma B	CRELD2	FindMarkers	0
0.531218517	2: IgA+ plasma B	EAF2	FindMarkers	0
0.528554076	2: IgA+ plasma B	PDIA4	FindMarkers	0
0.526953535	2: IgA+ plasma B	Z93241.1	FindMarkers	0
0.510160204	2: IgA+ plasma B	MYDGF	FindMarkers	0
0.500837479	2: IgA+ plasma B	IRF4	FindMarkers	0
0.499586375	2: IgA+ plasma B	JSRP1	FindMarkers	0
0.499061947	2: IgA+ plasma B	FCRL5	FindMarkers	0
0.498933499	2: IgA+ plasma B	LINC01480	FindMarkers	0
0.491231804	2: IgA+ plasma B	AC007569.1	FindMarkers	0
0.484634144	2: IgA+ plasma B	SELENOS	FindMarkers	0
0.470894029	2: IgA+ plasma B	PLPP5	FindMarkers	0
0.453401042	2: IgA+ plasma B	SEC61B	FindMarkers	0
0.451792615	2: IgA+ plasma B	DUSP5	FindMarkers	0
0.450397952	2: IgA+ plasma B	SPCS1	FindMarkers	0
0.446720354	2: IgA+ plasma B	MANF	FindMarkers	0
0.443627718	2: IgA+ plasma B	ELL2	FindMarkers	0
0.43889759	2: IgA+ plasma B	SPCS3	FindMarkers	0
0.429886064	2: IgA+ plasma B	CHPF	FindMarkers	0
0.424439267	2: IgA+ plasma B	PDK1	FindMarkers	0
0.423872296	2: IgA+ plasma B	PIM2	FindMarkers	0
0.423062328	2: IgA+ plasma B	HDLBP	FindMarkers	0
0.420752519	2: IgA+ plasma B	ZBP1	FindMarkers	0
0.414057942	2: IgA+ plasma B	LMAN1	FindMarkers	0
0.412435078	2: IgA+ plasma B	FNDC3B	FindMarkers	0
0.408412504	2: IgA+ plasma B	AC012236.1	FindMarkers	0
0.389538179	2: IgA+ plasma B	SPAG4	FindMarkers	0
0.38886857	2: IgA+ plasma B	ERLEC1	FindMarkers	0
0.385942805	2: IgA+ plasma B	ITGA6	FindMarkers	0
0.385937075	2: IgA+ plasma B	SPCS2	FindMarkers	0
0.384271516	2: IgA+ plasma B	RAB30	FindMarkers	0
0.379708744	2: IgA+ plasma B	PPIB	FindMarkers	0
0.365314441	2: IgA+ plasma B	AC007952.4	FindMarkers	0
0.359333053	2: IgA+ plasma B	SEL1L	FindMarkers	0
0.355835837	2: IgA+ plasma B	KDELR2	FindMarkers	0
0.355600364	2: IgA+ plasma B	ANKRD28	FindMarkers	0
0.344096866	2: IgA+ plasma B	SELENOM	FindMarkers	0
0.341890931	2: IgA+ plasma B	UAP1	FindMarkers	0
0.341365501	2: IgA+ plasma B	TXNDC15	FindMarkers	0
0.341163164	2: IgA+ plasma B	GNG7	FindMarkers	0
0.329053522	2: IgA+ plasma B	HIST1H2BJ	FindMarkers	0
0.326265277	2: IgA+ plasma B	AC245014.3	FindMarkers	0
0.323862347	2: IgA+ plasma B	CD79A	FindMarkers	0
0.320274326	2: IgA+ plasma B	HM13	FindMarkers	0
0.31898747	2: IgA+ plasma B	HIST1H2AC	FindMarkers	0
0.310041457	2: IgA+ plasma B	SLAMF7	FindMarkers	0
0.307781962	2: IgA+ plasma B	SEL1L3	FindMarkers	0
0.306781225	2: IgA+ plasma B	SPATS2	FindMarkers	0
0.303881281	2: IgA+ plasma B	ARSA	FindMarkers	0
0.298509299	2: IgA+ plasma B	AC078883.1	FindMarkers	0
0.297494035	2: IgA+ plasma B	PABPC4	FindMarkers	0
0.29639835	2: IgA+ plasma B	HIST1H1C	FindMarkers	0
0.295822121	2: IgA+ plasma B	CPNE5	FindMarkers	0
0.295037114	2: IgA+ plasma B	PRDM1	FindMarkers	0
0.292394738	2: IgA+ plasma B	PTCH2	FindMarkers	0
0.288817645	2: IgA+ plasma B	CKAP4	FindMarkers	0
0.27734253	2: IgA+ plasma B	CREB3L2	FindMarkers	0
0.275395515	2: IgA+ plasma B	CXorf21	FindMarkers	0
0.268563851	2: IgA+ plasma B	HIST1H2BC	FindMarkers	0
0.25863556	2: IgA+ plasma B	HSH2D	FindMarkers	0
0.254740135	2: IgA+ plasma B	TMEM107	FindMarkers	0
0.271021191	2: IgA+ plasma B	TENT5C	FindMarkers	9.67E-301
0.307861579	2: IgA+ plasma B	NEAT1	FindMarkers	3.72E-290
0.279983226	2: IgA+ plasma B	KDELR1	FindMarkers	2.03E-288
0.50025097	2: IgA+ plasma B	JUN	FindMarkers	1.01E-285
1.127416783	2: IgA+ plasma B	IGHV3-23	FindMarkers	1.89E-240
0.349786603	2: IgA+ plasma B	RHOB	FindMarkers	3.08E-237
0.264955708	2: IgA+ plasma B	ERGIC3	FindMarkers	1.11E-234
0.508792517	2: IgA+ plasma B	ANKRD37	FindMarkers	3.05E-222
0.27006845	2: IgA+ plasma B	TMEM258	FindMarkers	5.94E-198
0.260249927	2: IgA+ plasma B	PDIA6	FindMarkers	3.15E-188
0.318364989	2: IgA+ plasma B	H1FX	FindMarkers	2.20E-183
0.977182801	2: IgA+ plasma B	IGLV2-14	FindMarkers	4.14E-157
0.273698965	2: IgA+ plasma B	KRTCAP2	FindMarkers	2.47E-126
0.253713966	2: IgA+ plasma B	BTG2	FindMarkers	1.90E-108
0.408870984	2: IgA+ plasma B	IER2	FindMarkers	8.35E-36
2.027899586	3: IgA+ plasma B	IGLV2-23	FindMarkers	0.00E+00
