Diagnosis	Sample	seurat_clusters	.n
Control	CT4	c1	535
Control	CT4	c2	440
Control	CT4	c3	27
Control	CT4	c4	221
Control	CT4	c5	340
Control	CT4	c6	117
Control	CT4	c7	284
Control	CT4	c8	135
Control	CT4	c9	158
Control	CT4	c10	15
Control	CT4	c11	11
Control	CT4	c12	37
Control	CT4	c13	21
Control	CT4	c14	1
Control	CT4	c15	4
Control	CT5	c1	408
Control	CT5	c2	404
Control	CT5	c4	514
Control	CT5	c5	222
Control	CT5	c6	141
Control	CT5	c7	223
Control	CT5	c8	43
Control	CT5	c9	220
Control	CT5	c10	17
Control	CT5	c11	11
Control	CT5	c12	16
Control	CT5	c13	3
Control	CT5	c14	16
Control	CT5	c15	10
Control	CT6	c1	1491
Control	CT6	c2	751
Control	CT6	c4	346
Control	CT6	c5	149
Control	CT6	c6	320
Control	CT6	c7	126
Control	CT6	c8	194
Control	CT6	c9	250
Control	CT6	c10	1
Control	CT6	c11	5
Control	CT6	c12	16
Control	CT6	c13	29
Control	CT6	c14	1
Control	CT6	c15	3
Control	CT7	c1	685
Control	CT7	c2	777
Control	CT7	c4	729
Control	CT7	c5	307
Control	CT7	c6	151
Control	CT7	c7	119
Control	CT7	c8	92
Control	CT7	c9	71
Control	CT7	c10	5
Control	CT7	c11	14
Control	CT7	c12	29
Control	CT7	c13	5
Control	CT7	c14	18
Control	CT7	c15	1
Control	CT8	c1	586
Control	CT8	c2	473
Control	CT8	c4	209
Control	CT8	c5	128
Control	CT8	c6	279
Control	CT8	c7	187
Control	CT8	c8	336
Control	CT8	c9	362
Control	CT8	c10	6
Control	CT8	c11	11
Control	CT8	c12	31
Control	CT8	c13	154
Control	CT8	c14	17
Control	CT8	c15	3
NoColitis	NC1	c1	799
NoColitis	NC1	c2	162
NoColitis	NC1	c3	7
NoColitis	NC1	c4	183
NoColitis	NC1	c5	99
NoColitis	NC1	c6	261
NoColitis	NC1	c7	247
NoColitis	NC1	c8	529
NoColitis	NC1	c9	340
NoColitis	NC1	c10	21
NoColitis	NC1	c11	36
NoColitis	NC1	c12	57
NoColitis	NC1	c13	5
NoColitis	NC1	c14	11
NoColitis	NC1	c15	2
NoColitis	NC2	c1	879
NoColitis	NC2	c2	368
NoColitis	NC2	c3	2
NoColitis	NC2	c4	422
NoColitis	NC2	c5	400
NoColitis	NC2	c6	523
NoColitis	NC2	c7	144
NoColitis	NC2	c8	132
NoColitis	NC2	c9	192
NoColitis	NC2	c10	24
NoColitis	NC2	c11	23
NoColitis	NC2	c12	51
NoColitis	NC2	c13	20
NoColitis	NC2	c14	22
NoColitis	NC2	c15	4
NoColitis	NC3	c1	735
NoColitis	NC3	c2	308
NoColitis	NC3	c3	1
NoColitis	NC3	c4	368
NoColitis	NC3	c5	112
NoColitis	NC3	c6	263
NoColitis	NC3	c7	172
NoColitis	NC3	c8	68
NoColitis	NC3	c9	159
NoColitis	NC3	c10	26
NoColitis	NC3	c11	26
NoColitis	NC3	c12	12
NoColitis	NC3	c13	33
NoColitis	NC3	c14	43
NoColitis	NC3	c15	6
NoColitis	NC4	c1	1284
NoColitis	NC4	c2	924
NoColitis	NC4	c3	5
NoColitis	NC4	c4	196
NoColitis	NC4	c5	274
NoColitis	NC4	c6	191
NoColitis	NC4	c7	109
NoColitis	NC4	c8	54
NoColitis	NC4	c9	71
NoColitis	NC4	c10	17
NoColitis	NC4	c11	8
NoColitis	NC4	c12	35
NoColitis	NC4	c13	19
NoColitis	NC4	c14	8
NoColitis	NC4	c15	3
NoColitis	NC5	c1	873
NoColitis	NC5	c2	768
NoColitis	NC5	c3	12
NoColitis	NC5	c4	211
NoColitis	NC5	c5	204
NoColitis	NC5	c6	264
NoColitis	NC5	c7	167
NoColitis	NC5	c8	62
NoColitis	NC5	c9	358
NoColitis	NC5	c10	11
NoColitis	NC5	c11	35
NoColitis	NC5	c12	47
NoColitis	NC5	c13	34
NoColitis	NC5	c14	18
NoColitis	NC5	c15	8
NoColitis	NC6	c1	922
NoColitis	NC6	c2	730
NoColitis	NC6	c3	22
NoColitis	NC6	c4	731
NoColitis	NC6	c5	207
NoColitis	NC6	c6	388
NoColitis	NC6	c7	162
NoColitis	NC6	c8	160
NoColitis	NC6	c9	146
NoColitis	NC6	c10	32
NoColitis	NC6	c11	51
NoColitis	NC6	c12	38
NoColitis	NC6	c13	83
NoColitis	NC6	c14	17
NoColitis	NC6	c15	5
