Sample	seurat_clusters	Diagnosis	.n	.frac
NC3	c2	NoColitis	321	0.134309623430962
NC3	c4	NoColitis	357	0.149372384937239
NC3	c5	NoColitis	115	0.0481171548117155
NC3	c6	NoColitis	279	0.11673640167364
NC3	c7	NoColitis	62	0.0259414225941423
NC3	c8	NoColitis	165	0.0690376569037657
NC3	c9	NoColitis	171	0.0715481171548117
NC3	c10	NoColitis	70	0.0292887029288703
NC3	c11	NoColitis	22	0.00920502092050209
NC3	c13	NoColitis	10	0.00418410041841004
NC3	c14	NoColitis	33	0.0138075313807531
NC3	c15	NoColitis	38	0.0158995815899582
NC3	c16	NoColitis	16	0.00669456066945607
NC3	c17	NoColitis	7	0.00292887029288703
NC3	c18	NoColitis	2	0.000836820083682008
NC3	c19	NoColitis	2	0.000836820083682008
NC4	c1	NoColitis	1279	0.391610532761788
NC4	c2	NoColitis	910	0.278628291488059
NC4	c3	NoColitis	3	0.000918554807103491
NC4	c4	NoColitis	196	0.060012247397428
NC4	c5	NoColitis	286	0.0875688916105328
NC4	c6	NoColitis	193	0.0590936925903246
NC4	c7	NoColitis	52	0.0159216166564605
NC4	c8	NoColitis	97	0.0296999387630129
NC4	c9	NoColitis	83	0.0254133496631966
NC4	c10	NoColitis	16	0.00489895897121862
NC4	c11	NoColitis	20	0.00612369871402327
NC4	c13	NoColitis	41	0.0125535823637477
NC4	c14	NoColitis	21	0.00642988364972443
NC4	c15	NoColitis	35	0.0107164727495407
NC4	c16	NoColitis	22	0.0067360685854256
NC4	c17	NoColitis	2	0.000612369871402327
NC4	c18	NoColitis	10	0.00306184935701163
NC6	c1	NoColitis	904	0.240809802876931
NC6	c2	NoColitis	723	0.192594565796484
NC6	c3	NoColitis	24	0.00639318060735216
NC6	c4	NoColitis	729	0.194192860948322
NC6	c5	NoColitis	204	0.0543420351624933
NC6	c6	NoColitis	392	0.104421949920085
NC6	c7	NoColitis	160	0.0426212040490144
NC6	c8	NoColitis	152	0.0404901438465637
NC6	c9	NoColitis	167	0.0444858817261588
NC6	c10	NoColitis	68	0.0181140117208311
NC6	c11	NoColitis	34	0.00905700586041556
NC6	c12	NoColitis	2	0.00053276505061268
NC6	c13	NoColitis	42	0.0111880660628663
NC6	c14	NoColitis	87	0.0231752797016516
NC6	c15	NoColitis	47	0.012519978689398
NC6	c16	NoColitis	11	0.00293020777836974
NC6	c17	NoColitis	6	0.00159829515183804
NC6	c19	NoColitis	2	0.00053276505061268
