seurat_clusters	Sample	.n	.frac
c18	C5	30	0.00762195121951219
c18	C6	5	0.00172532781228433
c18	CT1	12	0.00340136054421769
c18	CT2	8	0.00314465408805031
c18	CT3	1	0.000292141396435875
c18	CT4	3	0.00126422250316056
c18	CT6	4	0.00107816711590297
c18	NC1	2	0.000720461095100865
c18	NC2	4	0.00123304562268804
c18	NC3	8	0.00334728033472803
c18	NC4	2	0.000612369871402327
c18	NC6	6	0.00159829515183804
c19	C2	1	0.000259201658890617
c19	C3	4	0.00099304865938431
c19	C4	3	0.000956327701625757
c19	C5	1	0.000254065040650407
c19	CT1	8	0.00226757369614512
c19	CT2	4	0.00157232704402516
c19	CT3	5	0.00146070698217937
c19	CT4	1	0.000421407501053519
c19	CT6	2	0.000539083557951483
c19	NC1	3	0.0010806916426513
c19	NC2	3	0.00092478421701603
c19	NC3	2	0.000836820083682008
c19	NC4	10	0.00306184935701163
c20	C3	7	0.00173783515392254
c20	C4	1	0.000318775900541919
c20	C6	4	0.00138026224982747
c20	CT1	4	0.00113378684807256
c20	CT2	3	0.00117924528301887
c20	CT3	1	0.000292141396435875
c20	CT4	5	0.00210703750526759
c20	CT6	4	0.00107816711590297
c20	NC1	10	0.00360230547550432
c20	NC2	2	0.00061652281134402
c20	NC3	2	0.000836820083682008
c20	NC6	2	0.00053276505061268
