Sample	Identity	.n	.frac
C4	c7	365	0.1163532036978
C4	c8	119	0.0379343321644884
C4	c9	323	0.10296461587504
C4	c10	504	0.160663053873127
C4	c11	179	0.0570608861970035
C4	c12	22	0.00701306981192222
C4	c13	19	0.00605674211029646
C4	c14	111	0.035384124960153
C4	c15	9	0.00286898310487727
C4	c16	1	0.000318775900541919
C4	c17	8	0.00255020720433535
C4	c18	8	0.00255020720433535
C4	c19	3	0.000956327701625757
C4	c20	1	0.000318775900541919
C5	c1	186	0.0472560975609756
C5	c2	133	0.0337906504065041
C5	c3	1853	0.470782520325203
C5	c4	47	0.0119410569105691
C5	c5	268	0.0680894308943089
C5	c6	63	0.0160060975609756
C5	c7	330	0.0838414634146342
C5	c8	94	0.0238821138211382
C5	c9	261	0.0663109756097561
C5	c10	294	0.0746951219512195
C5	c11	165	0.0419207317073171
C5	c12	28	0.00711382113821138
C5	c13	28	0.00711382113821138
C5	c14	40	0.0101626016260163
C5	c15	49	0.0124491869918699
C5	c16	10	0.00254065040650406
C5	c17	56	0.0142276422764228
C5	c18	30	0.00762195121951219
C5	c19	1	0.000254065040650407
C6	c1	706	0.243616287094548
C6	c2	327	0.112836438923395
C6	c3	35	0.0120772946859903
C6	c4	86	0.0296756383712905
C6	c5	580	0.200138026224983
C6	c6	159	0.0548654244306418
C6	c7	155	0.0534851621808144
C6	c8	144	0.0496894409937888
C6	c9	235	0.0810904071773637
C6	c10	159	0.0548654244306418
C6	c11	117	0.0403726708074534
C6	c12	54	0.0186335403726708
C6	c13	5	0.00172532781228433
C6	c14	62	0.0213940648723257
C6	c15	32	0.0110420979986197
C6	c16	25	0.00862663906142167
C6	c17	8	0.00276052449965493
C6	c18	5	0.00172532781228433
C6	c20	4	0.00138026224982747
NC1	c1	799	0.287824207492795
NC1	c2	158	0.0569164265129683
NC1	c3	5	0.00180115273775216
NC1	c4	178	0.0641210374639769
NC1	c5	110	0.0396253602305476
NC1	c6	255	0.0918587896253602
NC1	c7	258	0.0929394812680115
NC1	c8	335	0.120677233429395
NC1	c9	46	0.0165706051873199
NC1	c10	18	0.00648414985590778
NC1	c11	69	0.0248559077809798
NC1	c12	466	0.167867435158501
NC1	c14	56	0.0201729106628242
NC1	c15	4	0.00144092219020173
NC1	c17	4	0.00144092219020173
NC1	c18	2	0.000720461095100865
NC1	c19	3	0.0010806916426513
NC1	c20	10	0.00360230547550432
NC2	c1	869	0.267879161528977
NC2	c2	390	0.120221948212084
NC2	c3	4	0.00123304562268804
NC2	c4	377	0.116214549938348
NC2	c5	419	0.129161528976572
NC2	c6	531	0.163686806411837
NC2	c7	140	0.0431565967940814
NC2	c8	196	0.0604192355117139
NC2	c9	44	0.0135635018495684
NC2	c10	27	0.00832305795314427
NC2	c11	110	0.0339087546239211
NC2	c12	31	0.00955610357583231
NC2	c14	49	0.0151048088779285
NC2	c15	16	0.00493218249075216
NC2	c16	13	0.00400739827373613
NC2	c17	19	0.00585696670776819
NC2	c18	4	0.00123304562268804
NC2	c19	3	0.00092478421701603
NC2	c20	2	0.00061652281134402
NC3	c1	749	0.313389121338912
NC3	c2	320	0.133891213389121
NC3	c4	356	0.148953974895397
NC3	c5	118	0.0493723849372385
NC3	c6	254	0.106276150627615
NC3	c7	167	0.0698744769874477
NC3	c8	163	0.0682008368200837
NC3	c9	69	0.0288702928870293
NC3	c10	21	0.00878661087866109
NC3	c11	55	0.0230125523012552
NC3	c12	9	0.00376569037656904
NC3	c14	10	0.00418410041841004
NC3	c15	33	0.0138075313807531
NC3	c16	38	0.0158995815899582
NC3	c17	16	0.00669456066945607
NC3	c18	8	0.00334728033472803
NC3	c19	2	0.000836820083682008
NC3	c20	2	0.000836820083682008
NC4	c1	1300	0.398040416411513
NC4	c2	907	0.277709736680955
NC4	c3	5	0.00153092467850582
NC4	c4	196	0.060012247397428
NC4	c5	289	0.0884874464176363
NC4	c6	181	0.0554194733619106
NC4	c7	98	0.030006123698714
NC4	c8	80	0.0244947948560931
NC4	c9	15	0.00459277403551745
NC4	c10	17	0.00520514390691978
NC4	c11	46	0.0140845070422535
NC4	c12	6	0.00183710961420698
NC4	c14	40	0.0122473974280465
NC4	c15	17	0.00520514390691978
NC4	c16	35	0.0107164727495407
NC4	c17	22	0.0067360685854256
NC4	c18	2	0.000612369871402327
NC4	c19	10	0.00306184935701163
NC6	c1	939	0.250133191262653
NC6	c2	723	0.192594565796484
NC6	c3	27	0.00719232818327118
NC6	c4	721	0.192061800745871
NC6	c5	208	0.0554075652637187
NC6	c6	363	0.0966968566862014
NC6	c7	151	0.0402237613212573
NC6	c8	163	0.0434203516249334
NC6	c9	68	0.0181140117208311
NC6	c10	36	0.00958977091102824
NC6	c11	93	0.0247735748534896
NC6	c12	67	0.0178476291955248
NC6	c13	2	0.00053276505061268
NC6	c14	43	0.0114544485881726
NC6	c15	84	0.0223761321257326
NC6	c16	47	0.012519978689398
NC6	c17	11	0.00293020777836974
NC6	c18	6	0.00159829515183804
NC6	c20	2	0.00053276505061268
CT1	c1	499	0.141439909297052
CT1	c2	401	0.113662131519274
CT1	c3	7	0.00198412698412698
CT1	c4	835	0.236678004535147
CT1	c5	195	0.0552721088435374
CT1	c6	361	0.102324263038549
CT1	c7	257	0.0728458049886621
CT1	c8	524	0.148526077097506
CT1	c9	30	0.00850340136054422
CT1	c10	15	0.00425170068027211
CT1	c11	114	0.032312925170068
CT1	c12	170	0.0481859410430839
CT1	c13	1	0.000283446712018141
CT1	c14	24	0.00680272108843537
CT1	c15	52	0.0147392290249433
CT1	c16	9	0.00255102040816327
CT1	c17	10	0.00283446712018141
CT1	c18	12	0.00340136054421769
CT1	c19	8	0.00226757369614512
CT1	c20	4	0.00113378684807256
CT2	c1	671	0.26375786163522
CT2	c2	301	0.118317610062893
CT2	c3	2	0.000786163522012579
CT2	c4	216	0.0849056603773585
CT2	c5	109	0.0428459119496855
CT2	c6	203	0.0797955974842767
CT2	c7	250	0.0982704402515723
CT2	c8	226	0.0888364779874214
CT2	c9	40	0.0157232704402516
CT2	c10	3	0.00117924528301887
CT2	c11	151	0.0593553459119497
CT2	c12	228	0.089622641509434
CT2	c14	10	0.00393081761006289
CT2	c15	66	0.0259433962264151
CT2	c16	36	0.0141509433962264
CT2	c17	17	0.00668238993710692
CT2	c18	8	0.00314465408805031
CT2	c19	4	0.00157232704402516
CT2	c20	3	0.00117924528301887
CT3	c1	1138	0.332456909144026
CT3	c2	642	0.187554776511832
CT3	c3	3	0.000876424189307625
CT3	c4	142	0.0414840782938942
CT3	c5	429	0.12532865907099
CT3	c6	350	0.102249488752556
CT3	c7	159	0.0464504820333041
CT3	c8	144	0.042068361086766
CT3	c9	18	0.00525854513584575
CT3	c10	8	0.002337131171487
CT3	c11	191	0.0557990067192521
CT3	c12	138	0.0403155127081507
CT3	c13	1	0.000292141396435875
CT3	c14	16	0.004674262342974
CT3	c15	27	0.00788781770376862
CT3	c16	1	0.000292141396435875
CT3	c17	9	0.00262927256792287
CT3	c18	1	0.000292141396435875
CT3	c19	5	0.00146070698217937
CT3	c20	1	0.000292141396435875
CT4	c1	537	0.22629582806574
CT4	c2	443	0.186683522966709
CT4	c3	38	0.0160134850400337
CT4	c4	203	0.0855457227138643
CT4	c5	347	0.146228402865571
CT4	c6	109	0.0459334176148335
CT4	c7	268	0.112937210282343
CT4	c8	169	0.0712178676780447
CT4	c9	12	0.00505689001264223
CT4	c10	17	0.00716392751790982
CT4	c11	127	0.0535187526337969
CT4	c12	13	0.00547829751369574
CT4	c14	37	0.0155920775389802
CT4	c15	23	0.00969237252423093
CT4	c16	5	0.00210703750526759
CT4	c17	16	0.0067425200168563
CT4	c18	3	0.00126422250316056
CT4	c19	1	0.000421407501053519
CT4	c20	5	0.00210703750526759
CT6	c1	1510	0.407008086253369
CT6	c2	755	0.203504043126685
CT6	c4	338	0.0911051212938005
CT6	c5	150	0.0404312668463612
CT6	c6	296	0.0797843665768194
CT6	c7	120	0.032345013477089
CT6	c8	261	0.0703504043126685
CT6	c9	6	0.00161725067385445
CT6	c10	1	0.000269541778975741
CT6	c11	141	0.0380053908355795
CT6	c12	54	0.01455525606469
CT6	c14	16	0.00431266846361186
CT6	c15	30	0.00808625336927224
CT6	c16	7	0.00188679245283019
CT6	c17	15	0.00404312668463612
CT6	c18	4	0.00107816711590297
CT6	c19	2	0.000539083557951483
CT6	c20	4	0.00107816711590297
