Diagnosis	Sample	seurat_clusters	.n
Control	CT2	c1	671
Control	CT2	c2	301
Control	CT2	c3	2
Control	CT2	c4	216
Control	CT2	c5	109
Control	CT2	c6	203
Control	CT2	c7	250
Control	CT2	c8	226
Control	CT2	c9	40
Control	CT2	c10	3
Control	CT2	c11	151
Control	CT2	c12	228
Control	CT2	c14	10
Control	CT2	c15	66
Control	CT2	c16	36
Control	CT2	c17	17
Control	CT2	c18	8
Control	CT2	c19	4
Control	CT2	c20	3
Control	CT3	c1	1138
Control	CT3	c2	642
Control	CT3	c3	3
Control	CT3	c4	142
Control	CT3	c5	429
Control	CT3	c6	350
Control	CT3	c7	159
Control	CT3	c8	144
Control	CT3	c9	18
Control	CT3	c10	8
Control	CT3	c11	191
Control	CT3	c12	138
Control	CT3	c13	1
Control	CT3	c14	16
Control	CT3	c15	27
Control	CT3	c16	1
Control	CT3	c17	9
Control	CT3	c18	1
Control	CT3	c19	5
Control	CT3	c20	1
Control	CT4	c1	537
Control	CT4	c2	443
Control	CT4	c3	38
Control	CT4	c4	203
Control	CT4	c5	347
Control	CT4	c6	109
Control	CT4	c7	268
Control	CT4	c8	169
Control	CT4	c9	12
Control	CT4	c10	17
Control	CT4	c11	127
Control	CT4	c12	13
Control	CT4	c14	37
Control	CT4	c15	23
Control	CT4	c16	5
Control	CT4	c17	16
Control	CT4	c18	3
Control	CT4	c19	1
Control	CT4	c20	5
Control	CT6	c1	1510
Control	CT6	c2	755
Control	CT6	c4	338
Control	CT6	c5	150
Control	CT6	c6	296
Control	CT6	c7	120
Control	CT6	c8	261
Control	CT6	c9	6
Control	CT6	c10	1
Control	CT6	c11	141
Control	CT6	c12	54
Control	CT6	c14	16
Control	CT6	c15	30
Control	CT6	c16	7
Control	CT6	c17	15
Control	CT6	c18	4
Control	CT6	c19	2
Control	CT6	c20	4
NoColitis	NC1	c1	799
NoColitis	NC1	c2	158
NoColitis	NC1	c3	5
NoColitis	NC1	c4	178
NoColitis	NC1	c5	110
NoColitis	NC1	c6	255
NoColitis	NC1	c7	258
NoColitis	NC1	c8	335
NoColitis	NC1	c9	46
NoColitis	NC1	c10	18
NoColitis	NC1	c11	69
NoColitis	NC1	c12	466
NoColitis	NC1	c14	56
NoColitis	NC1	c15	4
NoColitis	NC1	c17	4
NoColitis	NC1	c18	2
NoColitis	NC1	c19	3
NoColitis	NC1	c20	10
NoColitis	NC2	c1	869
NoColitis	NC2	c2	390
NoColitis	NC2	c3	4
NoColitis	NC2	c4	377
NoColitis	NC2	c5	419
NoColitis	NC2	c6	531
NoColitis	NC2	c7	140
NoColitis	NC2	c8	196
NoColitis	NC2	c9	44
NoColitis	NC2	c10	27
NoColitis	NC2	c11	110
NoColitis	NC2	c12	31
NoColitis	NC2	c14	49
NoColitis	NC2	c15	16
NoColitis	NC2	c16	13
NoColitis	NC2	c17	19
NoColitis	NC2	c18	4
NoColitis	NC2	c19	3
NoColitis	NC2	c20	2
NoColitis	NC3	c1	749
NoColitis	NC3	c2	320
NoColitis	NC3	c4	356
NoColitis	NC3	c5	118
NoColitis	NC3	c6	254
NoColitis	NC3	c7	167
NoColitis	NC3	c8	163
NoColitis	NC3	c9	69
NoColitis	NC3	c10	21
NoColitis	NC3	c11	55
NoColitis	NC3	c12	9
NoColitis	NC3	c14	10
NoColitis	NC3	c15	33
NoColitis	NC3	c16	38
NoColitis	NC3	c17	16
NoColitis	NC3	c18	8
NoColitis	NC3	c19	2
NoColitis	NC3	c20	2
NoColitis	NC4	c1	1300
NoColitis	NC4	c2	907
NoColitis	NC4	c3	5
NoColitis	NC4	c4	196
NoColitis	NC4	c5	289
NoColitis	NC4	c6	181
NoColitis	NC4	c7	98
NoColitis	NC4	c8	80
NoColitis	NC4	c9	15
NoColitis	NC4	c10	17
NoColitis	NC4	c11	46
NoColitis	NC4	c12	6
NoColitis	NC4	c14	40
NoColitis	NC4	c15	17
NoColitis	NC4	c16	35
NoColitis	NC4	c17	22
NoColitis	NC4	c18	2
NoColitis	NC4	c19	10
NoColitis	NC6	c1	939
NoColitis	NC6	c2	723
NoColitis	NC6	c3	27
NoColitis	NC6	c4	721
NoColitis	NC6	c5	208
NoColitis	NC6	c6	363
NoColitis	NC6	c7	151
NoColitis	NC6	c8	163
NoColitis	NC6	c9	68
NoColitis	NC6	c10	36
NoColitis	NC6	c11	93
NoColitis	NC6	c12	67
NoColitis	NC6	c13	2
NoColitis	NC6	c14	43
NoColitis	NC6	c15	84
NoColitis	NC6	c16	47
NoColitis	NC6	c17	11
NoColitis	NC6	c18	6
NoColitis	NC6	c20	2
