Diagnosis	Sample	seurat_clusters	.n	.frac
Control	CT3	c2	641	0.187262635115396
Control	CT3	c3	3	0.000876424189307625
Control	CT3	c4	143	0.0417762196903301
Control	CT3	c5	424	0.123867952088811
Control	CT3	c6	364	0.106339468302658
Control	CT3	c7	339	0.0990359333917616
Control	CT3	c8	156	0.0455740578439965
Control	CT3	c9	145	0.0423605024832019
Control	CT3	c10	18	0.00525854513584575
Control	CT3	c11	8	0.002337131171487
Control	CT3	c12	1	0.000292141396435875
Control	CT3	c13	17	0.00496640373940987
Control	CT3	c14	26	0.00759567630733275
Control	CT3	c15	1	0.000292141396435875
Control	CT3	c16	9	0.00262927256792287
Control	CT3	c17	1	0.000292141396435875
Control	CT3	c18	5	0.00146070698217937
Control	CT3	c19	1	0.000292141396435875
Control	CT4	c1	512	0.215760640539402
Control	CT4	c2	448	0.188790560471976
Control	CT4	c3	32	0.0134850400337126
Control	CT4	c4	209	0.0880741677201854
Control	CT4	c5	342	0.144121365360303
Control	CT4	c6	127	0.0535187526337969
Control	CT4	c7	138	0.0581542351453856
Control	CT4	c8	271	0.114201432785504
Control	CT4	c9	173	0.0729034976822587
Control	CT4	c10	11	0.00463548251158871
Control	CT4	c11	19	0.00800674252001686
Control	CT4	c13	37	0.0155920775389802
Control	CT4	c14	24	0.0101137800252845
Control	CT4	c15	5	0.00210703750526759
Control	CT4	c16	16	0.0067425200168563
Control	CT4	c17	3	0.00126422250316056
Control	CT4	c18	1	0.000421407501053519
Control	CT4	c19	5	0.00210703750526759
Control	CT6	c1	1483	0.399730458221024
Control	CT6	c2	758	0.204312668463612
Control	CT6	c4	339	0.0913746630727763
Control	CT6	c5	147	0.039622641509434
Control	CT6	c6	319	0.0859838274932615
Control	CT6	c7	197	0.053099730458221
Control	CT6	c8	120	0.032345013477089
Control	CT6	c9	261	0.0703504043126685
Control	CT6	c10	6	0.00161725067385445
Control	CT6	c11	1	0.000269541778975741
Control	CT6	c13	18	0.00485175202156334
Control	CT6	c14	29	0.0078167115902965
Control	CT6	c15	7	0.00188679245283019
Control	CT6	c16	15	0.00404312668463612
Control	CT6	c17	4	0.00107816711590297
Control	CT6	c18	2	0.000539083557951483
Control	CT6	c19	4	0.00107816711590297
NoColitis	NC1	c1	778	0.280259365994236
NoColitis	NC1	c2	162	0.05835734870317
NoColitis	NC1	c3	5	0.00180115273775216
NoColitis	NC1	c4	178	0.0641210374639769
NoColitis	NC1	c5	106	0.0381844380403458
NoColitis	NC1	c6	276	0.0994236311239193
NoColitis	NC1	c7	535	0.192723342939481
NoColitis	NC1	c8	257	0.0925792507204611
NoColitis	NC1	c9	333	0.119956772334294
NoColitis	NC1	c10	46	0.0165706051873199
NoColitis	NC1	c11	19	0.00684438040345821
NoColitis	NC1	c13	59	0.0212536023054755
NoColitis	NC1	c14	3	0.0010806916426513
NoColitis	NC1	c16	4	0.00144092219020173
NoColitis	NC1	c17	2	0.000720461095100865
NoColitis	NC1	c18	3	0.0010806916426513
NoColitis	NC1	c19	10	0.00360230547550432
NoColitis	NC2	c1	860	0.265104808877928
NoColitis	NC2	c2	393	0.1211467324291
NoColitis	NC2	c3	3	0.00092478421701603
NoColitis	NC2	c4	379	0.116831072749692
NoColitis	NC2	c5	416	0.128236744759556
NoColitis	NC2	c6	532	0.163995067817509
NoColitis	NC2	c7	137	0.0422318125770654
NoColitis	NC2	c8	136	0.0419235511713933
NoColitis	NC2	c9	202	0.062268803945746
NoColitis	NC2	c10	44	0.0135635018495684
NoColitis	NC2	c11	31	0.00955610357583231
NoColitis	NC2	c13	52	0.0160295930949445
NoColitis	NC2	c14	18	0.00554870530209618
NoColitis	NC2	c15	13	0.00400739827373613
NoColitis	NC2	c16	19	0.00585696670776819
NoColitis	NC2	c17	4	0.00123304562268804
NoColitis	NC2	c18	3	0.00092478421701603
NoColitis	NC2	c19	2	0.00061652281134402
NoColitis	NC3	c1	720	0.301255230125523
NoColitis	NC3	c2	321	0.134309623430962
NoColitis	NC3	c4	357	0.149372384937239
NoColitis	NC3	c5	115	0.0481171548117155
NoColitis	NC3	c6	279	0.11673640167364
NoColitis	NC3	c7	62	0.0259414225941423
NoColitis	NC3	c8	165	0.0690376569037657
NoColitis	NC3	c9	171	0.0715481171548117
NoColitis	NC3	c10	70	0.0292887029288703
NoColitis	NC3	c11	22	0.00920502092050209
NoColitis	NC3	c13	10	0.00418410041841004
NoColitis	NC3	c14	33	0.0138075313807531
NoColitis	NC3	c15	38	0.0158995815899582
NoColitis	NC3	c16	16	0.00669456066945607
NoColitis	NC3	c17	7	0.00292887029288703
NoColitis	NC3	c18	2	0.000836820083682008
NoColitis	NC3	c19	2	0.000836820083682008
NoColitis	NC4	c1	1279	0.391610532761788
NoColitis	NC4	c2	910	0.278628291488059
NoColitis	NC4	c3	3	0.000918554807103491
NoColitis	NC4	c4	196	0.060012247397428
NoColitis	NC4	c5	286	0.0875688916105328
NoColitis	NC4	c6	193	0.0590936925903246
NoColitis	NC4	c7	52	0.0159216166564605
NoColitis	NC4	c8	97	0.0296999387630129
NoColitis	NC4	c9	83	0.0254133496631966
NoColitis	NC4	c10	16	0.00489895897121862
NoColitis	NC4	c11	20	0.00612369871402327
NoColitis	NC4	c13	41	0.0125535823637477
NoColitis	NC4	c14	21	0.00642988364972443
NoColitis	NC4	c15	35	0.0107164727495407
NoColitis	NC4	c16	22	0.0067360685854256
NoColitis	NC4	c17	2	0.000612369871402327
NoColitis	NC4	c18	10	0.00306184935701163
NoColitis	NC6	c1	904	0.240809802876931
NoColitis	NC6	c2	723	0.192594565796484
NoColitis	NC6	c3	24	0.00639318060735216
NoColitis	NC6	c4	729	0.194192860948322
NoColitis	NC6	c5	204	0.0543420351624933
NoColitis	NC6	c6	392	0.104421949920085
NoColitis	NC6	c7	160	0.0426212040490144
NoColitis	NC6	c8	152	0.0404901438465637
NoColitis	NC6	c9	167	0.0444858817261588
NoColitis	NC6	c10	68	0.0181140117208311
NoColitis	NC6	c11	34	0.00905700586041556
NoColitis	NC6	c12	2	0.00053276505061268
NoColitis	NC6	c13	42	0.0111880660628663
NoColitis	NC6	c14	87	0.0231752797016516
NoColitis	NC6	c15	47	0.012519978689398
NoColitis	NC6	c16	11	0.00293020777836974
NoColitis	NC6	c17	6	0.00159829515183804
NoColitis	NC6	c19	2	0.00053276505061268
