Diagnosis	Sample	cd8_subcluster	.n	.frac
Control	CT2	s3	102	0.0410628019323672
Control	CT2	s4	2	0.000805152979066023
Control	CT2	s5	11	0.00442834138486312
Control	CT2	s6	30	0.0120772946859903
Control	CT2	s8	67	0.0269726247987118
Control	CT2	s9	25	0.0100644122383253
Control	CT2	NA	1750	0.70450885668277
Control	CT3	s1	611	0.179336659818022
Control	CT3	s2	132	0.0387437628412093
Control	CT3	s3	421	0.123569122395069
Control	CT3	s4	2	0.000587026709715292
Control	CT3	s5	5	0.00146756677428823
Control	CT3	s6	13	0.0038156736131494
Control	CT3	s8	24	0.0070443205165835
Control	CT3	s9	45	0.0132081009685941
Control	CT3	NA	2154	0.63222776636337
Control	CT4	s1	420	0.179028132992327
Control	CT4	s2	218	0.092924126172208
Control	CT4	s3	336	0.143222506393862
Control	CT4	s4	35	0.0149190110826939
Control	CT4	s5	6	0.00255754475703325
Control	CT4	s6	6	0.00255754475703325
Control	CT4	s8	21	0.00895140664961637
Control	CT4	s9	19	0.00809889173060529
Control	CT4	NA	1285	0.547740835464621
Control	CT5	s1	407	0.181049822064057
Control	CT5	s2	512	0.227758007117438
Control	CT5	s3	216	0.096085409252669
Control	CT5	s5	10	0.00444839857651246
Control	CT5	s6	16	0.00711743772241993
Control	CT5	s8	3	0.00133451957295374
Control	CT5	s9	6	0.00266903914590747
Control	CT5	NA	1078	0.479537366548043
Control	CT6	s1	703	0.190928843020098
Control	CT6	s2	344	0.0934274850624661
Control	CT6	s3	147	0.0399239543726236
Control	CT6	s5	3	0.000814774579033134
Control	CT6	s6	3	0.000814774579033134
Control	CT6	s8	30	0.00814774579033134
Control	CT6	s9	51	0.0138511678435633
Control	CT6	NA	2401	0.652091254752852
Control	CT7	s1	751	0.25008325008325
Control	CT7	s2	727	0.242091242091242
Control	CT7	s3	306	0.101898101898102
Control	CT7	s4	1	0.000333000333000333
Control	CT7	s5	7	0.00233100233100233
Control	CT7	s6	25	0.00832500832500833
Control	CT7	s8	6	0.001998001998002
Control	CT7	s9	27	0.00899100899100899
Control	CT7	NA	1153	0.383949383949384
Control	CT8	s1	440	0.158159597411934
Control	CT8	s2	207	0.0744069015097052
Control	CT8	s3	125	0.0449317038102085
Control	CT8	s4	1	0.000359453630481668
Control	CT8	s5	6	0.00215672178289001
Control	CT8	s6	21	0.00754852624011502
Control	CT8	s8	154	0.0553558590941769
Control	CT8	s9	38	0.0136592379583034
Control	CT8	NA	1790	0.643421998562186
NoColitis	NC1	s1	160	0.0579920260964117
NoColitis	NC1	s2	177	0.0641536788691555
NoColitis	NC1	s3	95	0.0344327654947445
NoColitis	NC1	s4	7	0.00253715114171801
NoColitis	NC1	s5	22	0.00797390358825661
NoColitis	NC1	s6	25	0.00906125407756433
NoColitis	NC1	s7	1	0.000362450163102573
NoColitis	NC1	s8	4	0.00144980065241029
NoColitis	NC1	s9	12	0.00434940195723088
NoColitis	NC1	NA	2256	0.817687567959406
NoColitis	NC2	s1	359	0.111977542108546
NoColitis	NC2	s2	419	0.13069245165315
NoColitis	NC2	s3	391	0.121958827199002
NoColitis	NC2	s4	4	0.00124766063630692
NoColitis	NC2	s5	12	0.00374298190892077
NoColitis	NC2	s6	33	0.0102932002495321
NoColitis	NC2	s8	21	0.00655021834061135
NoColitis	NC2	s9	18	0.00561447286338116
NoColitis	NC2	NA	1949	0.607922645040549
NoColitis	NC3	s1	301	0.129073756432247
NoColitis	NC3	s2	365	0.156518010291595
NoColitis	NC3	s3	106	0.0454545454545455
NoColitis	NC3	s5	18	0.00771869639794168
NoColitis	NC3	s6	52	0.0222984562607204
NoColitis	NC3	s8	33	0.0141509433962264
NoColitis	NC3	s9	16	0.00686106346483705
NoColitis	NC3	NA	1441	0.617924528301887
NoColitis	NC4	s1	919	0.287367104440275
NoColitis	NC4	s2	193	0.0603502188868043
NoColitis	NC4	s3	269	0.08411507191995
NoColitis	NC4	s4	4	0.00125078173858662
NoColitis	NC4	s5	4	0.00125078173858662
NoColitis	NC4	s6	11	0.0034396497811132
NoColitis	NC4	s7	2	0.000625390869293308
NoColitis	NC4	s8	19	0.00594121325828643
NoColitis	NC4	s9	13	0.0040650406504065
NoColitis	NC4	NA	1764	0.551594746716698
NoColitis	NC5	s1	764	0.248697916666667
NoColitis	NC5	s2	204	0.06640625
NoColitis	NC5	s3	200	0.0651041666666667
NoColitis	NC5	s4	14	0.00455729166666667
NoColitis	NC5	s5	18	0.005859375
NoColitis	NC5	s6	35	0.0113932291666667
NoColitis	NC5	s8	34	0.0110677083333333
NoColitis	NC5	s9	13	0.00423177083333333
NoColitis	NC5	NA	1790	0.582682291666667
NoColitis	NC6	s1	711	0.192474282620466
NoColitis	NC6	s2	711	0.192474282620466
NoColitis	NC6	s3	202	0.0546832701678397
NoColitis	NC6	s4	27	0.00730914997292907
NoColitis	NC6	s5	37	0.0100162425554954
NoColitis	NC6	s6	32	0.00866269626421224
NoColitis	NC6	s7	2	0.000541418516513265
NoColitis	NC6	s8	83	0.0224688684353005
NoColitis	NC6	s9	36	0.00974553329723877
NoColitis	NC6	NA	1853	0.50162425554954
