Sample	cd8_subcluster	.n	.frac
CT4	s2	333	0.303002729754322
CT4	s3	184	0.167424931756142
CT4	s4	15	0.013648771610555
CT4	s5	233	0.212010919017288
CT4	s6	7	0.00636942675159236
CT4	s7	5	0.00454959053685168
CT4	s9	6	0.00545950864422202
CT4	s10	40	0.0363967242948135
CT4	s11	20	0.0181983621474067
CT4	s12	10	0.00909918107370337
CT4	s13	2	0.00181983621474067
CT5	s1	383	0.326235093696763
CT5	s2	195	0.166098807495741
CT5	s3	443	0.377342419080068
CT5	s4	4	0.00340715502555366
CT5	s5	43	0.0366269165247019
CT5	s6	9	0.00766609880749574
CT5	s7	15	0.0127768313458262
CT5	s9	55	0.0468483816013629
CT5	s10	17	0.0144804088586031
CT5	s11	2	0.00170357751277683
CT5	s12	4	0.00340715502555366
CT5	s13	4	0.00340715502555366
CT6	s1	734	0.575235109717868
CT6	s2	139	0.108934169278997
CT6	s3	310	0.24294670846395
CT6	s4	1	0.000783699059561128
CT6	s5	1	0.000783699059561128
CT6	s6	3	0.00235109717868339
CT6	s7	3	0.00235109717868339
CT6	s9	26	0.0203761755485893
CT6	s10	24	0.0188087774294671
CT6	s11	29	0.0227272727272727
CT6	s12	4	0.00313479623824451
CT6	s13	2	0.00156739811912226
CT7	s1	771	0.412520064205457
CT7	s2	299	0.159978598180845
CT7	s3	704	0.376672017121455
CT7	s4	2	0.00107009095773141
CT7	s5	4	0.00214018191546281
CT7	s6	7	0.00374531835205993
CT7	s7	24	0.0128410914927769
CT7	s9	14	0.00749063670411985
CT7	s10	31	0.0165864098448368
CT7	s11	7	0.00374531835205993
CT7	s12	2	0.00107009095773141
CT7	s13	4	0.00214018191546281
CT8	s1	459	0.457171314741036
CT8	s2	133	0.132470119521912
CT8	s3	186	0.185258964143426
CT8	s4	2	0.00199203187250996
CT8	s5	1	0.00099601593625498
CT8	s6	6	0.00597609561752988
CT8	s7	21	0.0209163346613546
CT8	s9	12	0.0119521912350598
CT8	s10	29	0.0288844621513944
CT8	s11	152	0.151394422310757
CT8	s12	3	0.00298804780876494
