Sample	Identity	.n	.frac
NC1	c5	158	0.0572671257702066
NC1	c6	239	0.086625588981515
NC1	c7	260	0.0942370424066691
NC1	c8	516	0.187024284160928
NC1	c9	354	0.128307357738311
NC1	c10	21	0.00761145342515404
NC1	c11	48	0.0173976078289235
NC1	c12	14	0.00507430228343603
NC1	c13	5	0.00181225081551287
NC1	c14	6	0.00217470097861544
NC2	c1	883	0.275421085464754
NC2	c2	370	0.115408608858391
NC2	c3	5	0.00155957579538366
NC2	c4	382	0.119151590767311
NC2	c5	466	0.145352464129757
NC2	c6	145	0.045227698066126
NC2	c7	525	0.163755458515284
NC2	c8	122	0.0380536494073612
NC2	c9	197	0.061447286338116
NC2	c10	20	0.00623830318153462
NC2	c11	42	0.0131004366812227
NC2	c12	20	0.00623830318153462
NC2	c13	17	0.00530255770430443
NC2	c14	12	0.00374298190892077
NC3	c1	754	0.323327615780446
NC3	c2	315	0.135077186963979
NC3	c3	2	0.000857632933104631
NC3	c4	360	0.154373927958834
NC3	c5	121	0.0518867924528302
NC3	c6	166	0.0711835334476844
NC3	c7	238	0.102058319039451
NC3	c8	74	0.0317324185248714
NC3	c9	165	0.0707547169811321
NC3	c10	25	0.0107204116638079
NC3	c11	69	0.0295883361921098
NC3	c12	2	0.000857632933104631
NC3	c13	31	0.0132933104631218
NC3	c14	10	0.00428816466552316
NC4	c1	1275	0.398686679174484
NC4	c2	911	0.284865540963102
NC4	c3	7	0.00218886804252658
NC4	c4	195	0.0609756097560976
NC4	c5	313	0.0978736710444028
NC4	c6	106	0.0331457160725453
NC4	c7	189	0.0590994371482176
NC4	c8	48	0.0150093808630394
NC4	c9	74	0.0231394621638524
NC4	c10	18	0.00562851782363977
NC4	c11	16	0.00500312695434647
NC4	c12	23	0.00719199499687305
NC4	c13	20	0.00625390869293308
NC4	c14	3	0.000938086303939962
NC5	c1	869	0.282877604166667
NC5	c2	741	0.2412109375
NC5	c3	31	0.0100911458333333
NC5	c4	211	0.0686848958333333
NC5	c5	254	0.0826822916666667
NC5	c6	150	0.048828125
NC5	c7	279	0.0908203125
NC5	c8	56	0.0182291666666667
NC5	c9	364	0.118489583333333
NC5	c10	10	0.00325520833333333
NC5	c11	57	0.0185546875
NC5	c12	7	0.00227864583333333
NC5	c13	33	0.0107421875
NC5	c14	10	0.00325520833333333
NC6	c1	954	0.258256632376827
NC6	c2	728	0.197076340010828
NC6	c3	34	0.0092041147807255
NC6	c4	714	0.193286410395236
NC6	c5	239	0.0646995127233351
NC6	c6	159	0.0430427720628045
NC6	c7	375	0.101515971846237
NC6	c8	148	0.0400649702219816
NC6	c9	156	0.0422306442880346
NC6	c10	21	0.00568489442338928
NC6	c11	66	0.0178668110449377
NC6	c12	4	0.00108283703302653
NC6	c13	83	0.0224688684353005
NC6	c14	13	0.00351922035733622
CT1	c1	509	0.145553331426937
CT1	c2	384	0.109808407206177
CT1	c3	12	0.00343151272519302
CT1	c4	850	0.243065484701172
CT1	c5	216	0.0617672290534744
CT1	c6	229	0.0654847011724335
CT1	c7	355	0.10151558478696
CT1	c8	281	0.0803545896482699
CT1	c9	521	0.14898484415213
CT1	c10	22	0.00629110666285387
CT1	c11	30	0.00857878181298256
CT1	c12	24	0.00686302545038605
CT1	c13	47	0.013440091507006
CT1	c14	17	0.00486130969402345
CT2	c1	695	0.279790660225443
CT2	c2	304	0.122383252818035
CT2	c3	4	0.00161030595813205
CT2	c4	221	0.0889694041867955
CT2	c5	110	0.0442834138486312
CT2	c6	237	0.0954106280193237
CT2	c7	195	0.0785024154589372
CT2	c8	365	0.146940418679549
CT2	c9	224	0.0901771336553945
CT2	c10	6	0.00241545893719807
CT2	c11	39	0.0157004830917874
CT2	c12	3	0.00120772946859903
CT2	c13	68	0.0273752012882448
CT2	c14	13	0.00523349436392915
CT3	c1	1151	0.337833871441151
CT3	c2	637	0.186968007044321
CT3	c3	4	0.00117405341943058
CT3	c4	139	0.0407983563252128
CT3	c5	436	0.127971822717934
CT3	c6	154	0.0452010566480775
CT3	c7	355	0.104197240974464
CT3	c8	323	0.0948048136190197
CT3	c9	148	0.0434399765189316
CT3	c10	10	0.00293513354857646
CT3	c11	18	0.00528324038743763
CT3	c12	4	0.00117405341943058
CT3	c13	26	0.0076313472262988
CT3	c14	2	0.000587026709715292
CT4	c1	549	0.234015345268542
CT4	c2	238	0.101449275362319
CT4	c3	230	0.0980392156862745
CT4	c4	217	0.0924978687127025
CT4	c5	380	0.161977834612106
CT4	c6	282	0.120204603580563
CT4	c7	106	0.0451832907075874
CT4	c8	131	0.0558397271952259
CT4	c9	158	0.0673486786018755
CT4	c10	11	0.00468883205456096
CT4	c11	12	0.0051150895140665
CT4	c12	5	0.00213128729752771
CT4	c13	22	0.00937766410912191
CT4	c14	5	0.00213128729752771
CT5	c1	413	0.183800623052959
CT5	c2	392	0.174454828660436
CT5	c3	38	0.0169114374721851
CT5	c4	483	0.214953271028037
CT5	c5	233	0.103693813974188
CT5	c6	215	0.0956831330663106
CT5	c7	137	0.0609701824655096
CT5	c8	43	0.0191366266132621
CT5	c9	224	0.0996884735202492
CT5	c10	19	0.00845571873609257
CT5	c11	26	0.0115709835336004
CT5	c12	3	0.00133511348464619
CT5	c13	2	0.000890075656430797
CT5	c14	19	0.00845571873609257
CT6	c1	1502	0.407930472569256
CT6	c2	741	0.201249321021184
CT6	c3	2	0.000543183052688756
CT6	c4	326	0.0885388375882672
CT6	c5	171	0.0464421510048886
CT6	c6	127	0.034492123845736
CT6	c7	298	0.0809342748506247
CT6	c8	211	0.0573058120586638
CT6	c9	255	0.0692558392178164
CT6	c11	6	0.00162954915806627
CT6	c12	1	0.000271591526344378
CT6	c13	30	0.00814774579033134
CT6	c14	12	0.00325909831613254
CT7	c1	691	0.23010323010323
CT7	c2	771	0.256743256743257
CT7	c3	5	0.00166500166500167
CT7	c4	704	0.234432234432234
CT7	c5	350	0.116550116550117
CT7	c6	118	0.0392940392940393
CT7	c7	143	0.0476190476190476
CT7	c8	96	0.031968031968032
CT7	c9	72	0.023976023976024
CT7	c10	5	0.00166500166500167
CT7	c11	32	0.0106560106560107
CT7	c12	1	0.000333000333000333
CT7	c13	7	0.00233100233100233
CT7	c14	8	0.00266400266400266
CT8	c1	589	0.211718188353702
CT8	c2	458	0.164629762760604
CT8	c3	2	0.000718907260963336
CT8	c4	195	0.0700934579439252
CT8	c5	164	0.0589503953989935
CT8	c6	185	0.0664989216391086
CT8	c7	279	0.100287562904385
CT8	c8	338	0.121495327102804
CT8	c9	372	0.13371675053918
CT8	c10	7	0.00251617541337168
CT8	c11	29	0.0104241552839684
CT8	c13	156	0.0560747663551402
CT8	c14	8	0.00287562904385334
