Diagnosis	Sample	cd4_subcluster	.n	.frac
Colitis	C7	s3	374	0.109645265318089
Colitis	C7	s4	430	0.126062738199941
Colitis	C7	s5	34	0.0099677513925535
Colitis	C7	s6	24	0.00703605980650836
Colitis	C7	s7	77	0.0225740252125476
Colitis	C7	s8	58	0.0170038111990619
Colitis	C7	s9	2	0.00058633831720903
Colitis	C7	NA	1268	0.371738493110525
Colitis	C8	s1	277	0.0816627358490566
Colitis	C8	s2	108	0.0318396226415094
Colitis	C8	s3	326	0.0961084905660377
Colitis	C8	s4	1191	0.351120283018868
Colitis	C8	s5	166	0.048938679245283
Colitis	C8	s6	193	0.0568985849056604
Colitis	C8	s7	63	0.0185731132075472
Colitis	C8	s8	49	0.0144457547169811
Colitis	C8	s9	40	0.0117924528301887
Colitis	C8	NA	979	0.288620283018868
Control	CT1	s1	499	0.142693737489277
Control	CT1	s2	366	0.104661138118387
Control	CT1	s3	219	0.0626251072347727
Control	CT1	s4	39	0.0111524163568773
Control	CT1	s5	533	0.152416356877323
Control	CT1	s6	200	0.057191878753217
Control	CT1	s7	64	0.0183014012010295
Control	CT1	s8	48	0.0137260509007721
Control	CT1	s9	13	0.00371747211895911
Control	CT1	NA	1516	0.433514440949385
Control	CT2	s1	659	0.265297906602254
Control	CT2	s2	203	0.0817230273752013
Control	CT2	s3	232	0.0933977455716586
Control	CT2	s4	17	0.00684380032206119
Control	CT2	s5	224	0.0901771336553945
Control	CT2	s6	241	0.0970209339774557
Control	CT2	s7	137	0.0551529790660225
Control	CT2	s8	28	0.0112721417069243
Control	CT2	s9	9	0.0036231884057971
Control	CT2	NA	734	0.29549114331723
Control	CT3	s1	1122	0.329321984150279
Control	CT3	s2	367	0.107719401232756
Control	CT3	s3	153	0.0449075432932198
Control	CT3	s4	23	0.00675080716172586
Control	CT3	s5	140	0.0410918696800704
Control	CT3	s6	163	0.0478426768417963
Control	CT3	s7	161	0.047255650132081
Control	CT3	s8	23	0.00675080716172586
Control	CT3	s9	2	0.000587026709715292
Control	CT3	NA	1253	0.36777223363663
Control	CT4	s1	515	0.219522591645354
Control	CT4	s2	128	0.0545609548167093
Control	CT4	s3	257	0.109548167092924
Control	CT4	s4	45	0.0191815856777494
Control	CT4	s5	162	0.0690537084398977
Control	CT4	s6	38	0.0161977834612106
Control	CT4	s7	67	0.0285592497868713
Control	CT4	s8	69	0.0294117647058824
Control	CT4	s9	4	0.00170502983802217
Control	CT4	NA	1061	0.452259164535379
Control	CT5	s1	409	0.181939501779359
Control	CT5	s2	141	0.0627224199288256
Control	CT5	s3	171	0.076067615658363
Control	CT5	s4	17	0.00756227758007117
Control	CT5	s5	221	0.0983096085409253
Control	CT5	s6	16	0.00711743772241993
Control	CT5	s7	23	0.0102313167259786
Control	CT5	s8	70	0.0311387900355872
Control	CT5	s9	10	0.00444839857651246
Control	CT5	NA	1170	0.520462633451957
Control	CT6	s1	1471	0.39951113525258
Control	CT6	s2	329	0.0893536121673004
Control	CT6	s3	118	0.0320478001086366
Control	CT6	s4	10	0.00271591526344378
Control	CT6	s5	253	0.0687126561651276
Control	CT6	s6	65	0.0176534492123846
Control	CT6	s7	128	0.0347637153720804
Control	CT6	s8	24	0.00651819663226507
Control	CT6	s9	3	0.000814774579033134
Control	CT6	NA	1281	0.347908745247148
Control	CT7	s1	681	0.226773226773227
Control	CT7	s2	153	0.050949050949051
Control	CT7	s3	115	0.0382950382950383
Control	CT7	s4	15	0.004995004995005
Control	CT7	s5	72	0.023976023976024
Control	CT7	s6	47	0.0156510156510157
Control	CT7	s7	36	0.011988011988012
Control	CT7	s8	33	0.010989010989011
Control	CT7	s9	1	0.000333000333000333
Control	CT7	NA	1850	0.616050616050616
Control	CT8	s1	568	0.204169662113587
Control	CT8	s2	288	0.10352264557872
Control	CT8	s3	172	0.0618260244428469
Control	CT8	s4	19	0.00682961897915169
Control	CT8	s5	369	0.132638389647735
Control	CT8	s6	219	0.0787203450754853
Control	CT8	s7	106	0.0381020848310568
Control	CT8	s8	46	0.0165348670021567
Control	CT8	s9	3	0.001078360891445
Control	CT8	NA	992	0.356578001437815
NoColitis	NC1	s1	805	0.291772381297572
NoColitis	NC1	s2	254	0.0920623414280536
NoColitis	NC1	s3	234	0.0848133381660022
NoColitis	NC1	s4	35	0.0126857557085901
NoColitis	NC1	s5	342	0.12395795578108
NoColitis	NC1	s6	476	0.172526277636825
NoColitis	NC1	s7	37	0.0134106560347952
NoColitis	NC1	s8	71	0.0257339615802827
NoColitis	NC1	s9	2	0.000724900326205147
NoColitis	NC1	NA	503	0.182312432040594
NoColitis	NC2	s1	876	0.273237679351216
NoColitis	NC2	s2	517	0.16126013724267
NoColitis	NC2	s3	130	0.040548970679975
NoColitis	NC2	s4	42	0.0131004366812227
NoColitis	NC2	s5	190	0.0592638802245789
NoColitis	NC2	s6	45	0.0140361821584529
NoColitis	NC2	s7	79	0.0246412975670618
NoColitis	NC2	s8	66	0.0205864004990643
NoColitis	NC2	s9	4	0.00124766063630692
NoColitis	NC2	NA	1257	0.392077354959451
NoColitis	NC3	s1	724	0.310463121783877
NoColitis	NC3	s2	264	0.113207547169811
NoColitis	NC3	s3	160	0.0686106346483705
NoColitis	NC3	s4	29	0.0124356775300172
NoColitis	NC3	s5	168	0.072041166380789
NoColitis	NC3	s6	15	0.00643224699828473
NoColitis	NC3	s7	52	0.0222984562607204
NoColitis	NC3	s8	22	0.00943396226415094
NoColitis	NC3	s9	7	0.00300171526586621
NoColitis	NC3	NA	891	0.382075471698113
NoColitis	NC4	s1	1273	0.398061288305191
NoColitis	NC4	s2	195	0.0609756097560976
NoColitis	NC4	s3	101	0.0315822388993121
NoColitis	NC4	s4	27	0.00844277673545966
NoColitis	NC4	s5	77	0.0240775484677924
NoColitis	NC4	s6	15	0.00469043151969981
NoColitis	NC4	s7	31	0.00969355847404628
NoColitis	NC4	s8	42	0.0131332082551595
NoColitis	NC4	s9	3	0.000938086303939962
NoColitis	NC4	NA	1434	0.448405253283302
NoColitis	NC5	s1	869	0.282877604166667
NoColitis	NC5	s2	268	0.0872395833333333
NoColitis	NC5	s3	135	0.0439453125
NoColitis	NC5	s4	20	0.00651041666666667
NoColitis	NC5	s5	356	0.115885416666667
NoColitis	NC5	s6	38	0.0123697916666667
NoColitis	NC5	s7	16	0.00520833333333333
NoColitis	NC5	s8	79	0.0257161458333333
NoColitis	NC5	s9	9	0.0029296875
NoColitis	NC5	NA	1282	0.417317708333333
NoColitis	NC6	s1	908	0.245804006497022
NoColitis	NC6	s2	390	0.105576610720087
NoColitis	NC6	s3	147	0.039794260963725
NoColitis	NC6	s4	44	0.0119112073632918
NoColitis	NC6	s5	156	0.0422306442880346
NoColitis	NC6	s6	82	0.0221981591770439
NoColitis	NC6	s7	69	0.0186789388197076
NoColitis	NC6	s8	52	0.0140768814293449
NoColitis	NC6	s9	5	0.00135354629128316
NoColitis	NC6	NA	1841	0.49837574445046
